name,city,state,address,category
ABIDING SAVIOR LUTHERAN CHURCH,LAKE FOREST,CA,23262 EL TORO RD,
ABIDING SAVIOR LUTHERAN SCHOOL,SAINT LOUIS,MO,4353 BUTLER HILL RD,
ABIDING WORD LUTHERAN SCHOOL,HOUSTON,TX,17123 RED OAK DR,
ABILENE BAPTIST ACADEMY,ABILENE,KS,409 N VAN BUREN ST,
ABILITY SCHOOL,ENGLEWOOD,NJ,75 KNICKERBOCKER RD,
ARC ORANGE COUNTY CHAPTER,MIDDLETOWN,NY,28 INGRASSIA RD,
ARCADIA ADULT,ARCADIA,CA,150 SOUTH THIRD AVE.,
ARCADIA ADULT EVENING SCHOOL,ARCADIA,CA,180 CAMPUS DR.,
"ARCADIA CHILDREN'S EDUCATIONAL CENTER",ARCADIA,CA,9845 E LEMON AVE,
ABINGTON FRIENDS SCHOOL,JENKINTOWN,PA,575 WASHINGTON LN,
ABINTRA MONTESSORI SCHOOL,NASHVILLE,TN,914 DAVIDSON DR,
ABIS PLACE,CORAL SPRINGS,FL,1710 N UNIVERSITY DR,
ARCADIA FIRST BAPTIST CHRISTIAN SCHOOL,SANTA FE,TX,14828 HWY 6,
ABLE ACADEMY,NAPLES,FL,5860 GOLDEN GATE PKWY,
ABLE CENTER,ORLANDO,FL,1530 S PRIMROSE DR,
ABLE CHARTER SCHOOL 6TH-8TH,OKLAHOMA CITY,OK,4500 N CLASSEN BLVD STE 2015,
ABLE CHARTER SCHOOL 9TH-12TH,OKLAHOMA CITY,OK,4500 N CLASSEN BLVD STE 2015,
ABM MINISTRIES-LIGHTHOUSE CHRISTIAN ACADEMY,PIEDMONT,MO,PO BOX 100,
ABM VIETNAMESE SCHOOL,ATLANTA,GA,4300 BUFORD HWY NE STE 104,
ARCADIA LEARNING CENTER,TACOMA,WA,6312 N 30TH ST,
ABNER MONTESSORI SCHOOL,CHAPIN,SC,432 E BOUNDARY ST,
ABOITE CHRISTIAN SCHOOL,ROANOKE,IN,14615 WINTERS RD,
ARCADIA MONTESSORI SCHOOL,PHOENIX,AZ,5115 E VIRGINIA AVE,
