federal_offense,misdemeanor,total,detained_or_awaiting_trial,felony,snapshot_date,id,source_url,source_url1
1,5,77,48,23,2021-05-01,8982,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
5,40,191,133,13,2021-05-01,8983,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,16,166,116,34,2021-05-01,8984,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,8,53,40,5,2021-05-01,8985,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,1,25,22,2,2021-05-01,8986,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,11,82,59,12,2021-05-01,8987,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
5,1,104,80,18,2021-05-01,8988,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
1,18,144,99,26,2021-05-01,8990,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,3,18,9,6,2021-05-01,8989,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,6,70,58,6,2021-05-01,8991,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,0,50,50,0,2021-05-01,9049,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,4,80,72,4,2021-05-01,8996,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
1,3,41,32,5,2021-05-01,8998,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,19,111,82,10,2021-05-01,8999,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
