SALAMONIE SCHOOL, WARREN, IN
SCENIC HILL ELEMENTARY SCHOOL, KENT, WA
SCENIC HILLS CHRISTIAN ACADEMY, SAN ANTONIO, TX
SCHALLER-CRESTLAND M.S. RIDGE VIEW MIDDLE SCHOOL, EARLY, IA
SCHALMONT MIDDLE SCHOOL, SCHENECTADY, NY
SCHENK ELEMENTARY, MADISON, WI
SCHLEGEL ROAD ELEMENTARY SCHOOL, WEBSTER, NY
SCHLESWIG ELEMENTARY SCHOOL, SCHLESWIG, IA
SCHMIDT ELEMENTARY SCHOOL, BRANDON, FL
SCHMITT ELEMENTARY SCHOOL, DENVER, CO
SCHOFIELD, WELLESLEY, MA
SCHOFIELD ELEMENTARY SCHOOL, WARREN, MI
SCHOHARIE HIGH SCHOOL, SCHOHARIE, NY
SCHOLAR PLUS ONLINE LEARNING, PERRIS, CA
SCHOLARS' ACADEMY, ROCKAWAY PARK, NY
SCHOOL #12, CLIFTON, NJ
SCHOOL #13, CLIFTON, NJ
SCHOOL #8, CLIFTON, NJ
SCHOOL 1, PATERSON, NJ
SCHOOL 2, OCEANSIDE, NY
SCHOOL 22, YONKERS, NY
SCHOOL 25-NATHANIEL HAWTHORNE, ROCHESTER, NY
SCHOOL 3, OCEANSIDE, NY
SCHOOL 3, PATERSON, NJ
SCHOOL 41-KODAK PARK, ROCHESTER, NY
SCHOOL 50-HELEN BARRETT MONTGOMERY, ROCHESTER, NY
SCHOOL COMMUNITY GUIDANCE CENTER, DALLAS, TX
SCHOOL DIST 133 ANNEX, RIVERDALE, IL
SCHOOL FOR ADVANCED STUDIES - SOUTH, MIAMI, FL
SCHOOL FOR BLIND ELEMENTARY, KANSAS CITY, KS
SCHOOL FOR DEAF ELEMENTARY, OLATHE, KS
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP, BRONX, NY
SCHOOL FOR THE DEAF PK-8, DEVILS LAKE, ND
SCHOOL FOR THE HIGHLY GIFTED, GRAND PRAIRIE, TX
SCHOOL HOUSE MONTESSORI ACADEMY, CANTON, MI
SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL, NEW YORK, NY
SCHOOL OF ENGINEERING-ARTS AT OLSON, GOLDEN VALLEY, MN
SCHOOL OF ENVIRONMENTAL STUDIES, APPLE VALLEY, MN
SCHOOL OF INCARNATION, MILLERSVILLE, MD
SCHOOL OF INTEGRATED LEARNING (THE), BROOKLYN, NY
SCHOOL OF KNOWLEDGE, INDIANAPOLIS, IN
SCHOOL OF MISSIONARY AVIATION TECHNOLOGY, IONIA, MI
SCHOOL OF OUR LADY, SANTA ANA, CA
SCHOOL OF SAINT ELIZABETH, BERNARDSVILLE, NJ
SCHOOL OF SCIENCE AND APPLIED LEARNING, BRONX, NY
SCHOOL OF SCIENCE AND TECHNOLOGY, BROOKLYN, NY
SCHOOL OF SCIENCE AND TECHNOLOGY ADVANCEMENT, HOUSTON, TX
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY, LEON VALLEY, TX
SCHOOL OF SOCIAL JUSTICE HS, CHICAGO, IL
SCHOOL OF ST MARY, TULSA, OK
SCHOOL OF ST PETER, CANBY, MN
SCHOOL OF SUCCESS ACADEMY-SOS, JACKSONVILLE, FL
SCHOOL OF TECHNOLOGY AT CARVER, ATLANTA, GA
SCHOOL OF THE FUTURE, PHILADELPHIA, PA
SCHOOL OF THE FUTURE HIGH SCHOOL, NEW YORK, NY
SCHOOL OF THE OZARKS, POINT LOOKOUT, MO
SCHOOL OF UNLIMITED LEARNING, FRESNO, CA
SCHOOL ONE, PROVIDENCE, RI
SCHOOL ONE ELEMENTARY, SCOTCH PLAINS, NJ
SCHOOL READINESS, TRUMBULL, CT
SCHOOL TIME, ALLENTOWN, NJ
SCHOOL WITHOUT WALLS AT FRANCIS STEVENS, WASHINGTON, DC
SCHOOL WOODLAND HILL, MIDDLEFIELD, OH
SCHOOLCRAFT ELEMENTARY SCHOOL, SCHOOLCRAFT, MI
SCHOOLFIELD ELEMENTARY, DANVILLE, VA
SCHOOLHOUSE ACADEMY, MIAMI, FL
SCHOOLHOUSE LEARNING CENTER-SELLERSVILLE, SELLERSVILLE, PA
SCHOOLHOUSE MONTESSORI ACADEMY, TROY, MI
SCHRIEVER ELEMENTARY SCHOOL, SCHRIEVER, LA
SCHROEDER ELEMENTARY SCHOOL, TROY, MI
SCHROEDER MIDDLE SCHOOL, GRAND FORKS, ND
SCHULTE ELEMENTARY, STURTEVANT, WI
SCHULTZ ELEMENTARY, MISHICOT, WI
SCHUYLER AVENUE EL SCH, KINGSTON, PA
SCHUYLER ELEMENTARY SCHOOL, SCHUYLER, NE
SCHUYLER INDUSTRY MIDDLE SCH, RUSHVILLE, IL
SCHUYLER STEUBEN CHEMUNG TIOGA ALLEGANY BOCES, ELMIRA, NY
SCHUYLER-COLFAX MIDDLE SCHOOL, WAYNE, NJ
SCHUYLERVILLE ELEMENTARY SCHOOL, SCHUYLERVILLE, NY
SCHUYLERVILLE PREPARATORY HIGH SCHOOL, BRONX, NY
SCHUYLKILL HAVEN EL CTR, SCHUYLKILL HAVEN, PA
SCHWARTZ ES, OKLAHOMA CITY, OK
SCHWARZKOPF ELEMENTARY SCHOOL, LUTZ, FL
SCHWETTMAN EDUCATION CENTER, NEW PORT RICHEY, FL
SCI TECH ENGR ARTS AND MATH AT LEGACY HIGH SCH COMPLEX, SOUTH GATE, CA
SCIENCE & TECHNOLOGY ACADEMY AT KNIGHTS LANDING, KNIGHTS LANDING, CA
SCIENCE AND TECHNOLOGY MAGNET SCHOOL OF SOUTHEASTERN CONNEC, NEW LONDON, CT
SCIENCE TECHNOLOGY & RESEARCH HIGH SCHOOL AT ERASMUS, BROOKLYN, NY
SCIPIO ELEMENTARY SCHOOL, SCIPIO, IN
SCITUATE HIGH SCHOOL, SCITUATE, MA
SCO FAMILY OF SERVICES/T PAPLIN SCHOOL, BRIARWOOD, NY
SCOBEE EL, SAN ANTONIO, TX
SCOBEY HIGH SCHOOL, SCOBEY, MT
SCOOTNEY SPRINGS ELEMENTARY, OTHELLO, WA
SCOTCH PLAINS BAPTIST CHRISTIAN DAY SCHOOL, SCOTCH PLAINS, NJ
SCOTIA-GLENVILLE MIDDLE SCHOOL, SCOTIA, NY
SCOTLAND CO. ELEM., MEMPHIS, MO
SCOTLAND ELEMENTARY - 02, SCOTLAND, SD
SCOTLAND ELEMENTARY SCHOOL, SCOTLAND, CT
SCOTT ALTMAN PRIMARY SCHOOL, PEKIN, IL
SCOTT AVENUE ELEMENTARY, WHITTIER, CA
SCOTT CENTRAL ATTENDANCE CENTER, FOREST, MS
SCOTT CO. CENTRAL HIGH, SIKESTON, MO
SCOTT COUNTY HIGH SCHOOL, GEORGETOWN, KY
SCOTT EL, MCKINNEY, TX
SCOTT ELEM., BELTON, MO
SCOTT ELEMENTARY SCHOOL, DEWITT, MI
SCOTT ELEMENTARY SCHOOL, SALEM, OR
SCOTT ELEMENTARY SCHOOL, THOMASVILLE, GA
SCOTT LAKE ELEMENTARY SCHOOL, LAKELAND, FL
SCOTT LAKE ELEMENTARY SCHOOL, MIAMI, FL
SCOTT M. LEAMAN, LINCOLN, CA
