name,business_type,state_registered,street_registered,city_registered,zip5_registered,corp_id
DUSSTIN DIVAS LLC,LLC,AL,,,,017134
"LEGACY ROOFING, LLC",LLC,AL,,,,017136
SOUTHLAND MANUFACTURING COMPANY,CORPORATION,AL,,ASHLAND,,017137
SMART BUCKS INC.,CORPORATION,AL,,,,017138
"POWER MOWERS, INC.",CORPORATION,AL,,SELMA,,017139
"STILL WATERS, INC.",CORPORATION,AL,,DADEVILLE,,017757
THREADED FASTENERS CHARITABLE FOUNDATION,NONPROFIT,AL,358 ST LOUIS ST,MOBILE,36602,017759
MKBAMA CORPORATION,CORPORATION,AL,59 COURT SQUARE,TROY,36079,017762
"STOCKTON GAS SERVICE, INC.",CORPORATION,AL,,STOCKTON,,017763
"STOELKER EQUIPMENT CO., INC.",CORPORATION,AL,,BIRMINGHAM,,017765
"GTP TOWERS IX, LLC",LLC,AL,750 PARK OF COMERCE BLVD,BOCA RATON,33487,017768
"CAPITAL RECOVERY ASSOCIATES, LLC",LLC,AL,9345 TECH CENTER DRIVE,SACRAMENTO,95826,017769
"METROPLEX MORTGAGE SERVICES, INC.",CORPORATION,AL,7819 DALE MABRY HWY,TAMPA,33614,017773
REGENCY CORPORATION,CORPORATION,AL,7100 NORTHLAND CIRCLE,BROOKLYN PARK,55428,017774
"FEDERAL RENT A FENCE, INC",CORPORATION,AL,127 HADDON AVE,WEST BERLIN,08091,017775
"STONEHURST GREEN DEVELOPMENT COMPANY, INC.",CORPORATION,AL,,BIRMINGHAM,,017777
"TRUCKING SERVICE CORPORATION, INC.",CORPORATION,AL,,BIRMINGHAM,,018873
TRULL BUILDING SUPPLY COMPANY,CORPORATION,AL,,WINFIELD,,018876
"PMC EQUITY PARTNERS, LLC",LLC,AL,,,,018877
